Distribution Center,Product Offering,Generation,SKU,ASP Group,Week,Forecasted Demand,Customer Orders
GAMMA,H,2,SKU-H-2,9,5,34936,23248
GAMMA,I,2,SKU-I-2,10,5,15860,11306
GAMMA,K,2,SKU-K-2,11,5,32930,33917
GAMMA,L,2,SKU-L-2,12,5,10637,22611
GAMMA,M,2,SKU-M-2,13,5,10318,5732
GAMMA,N,2,SKU-N-2,14,5,7038,2707
GAMMA,O,2,SKU-O-2,14,5,23471,47134
GAMMA,Q,2,SKU-Q-2,14,5,9522,9554
GAMMA,S,2,SKU-S-2,15,5,16688,16720
DELTA,A,2,SKU-A-2,1,5,39076,10191
DELTA,B,1,SKU-B-1,1,5,573,159
DELTA,B,2,SKU-B-2,1,5,159236,49204
DELTA,C,1,SKU-C-1,3,5,11497,7484
DELTA,C,2,SKU-C-2,4,5,217978,65764
DELTA,E,2,SKU-E-2,7,5,18487,28344
DELTA,F,1,SKU-F-1,6,5,18248,4299
DELTA,F,2,SKU-F-2,7,5,106338,36624
DELTA,G,2,SKU-G-2,10,5,2707,2070
DELTA,H,1,SKU-H-1,9,5,637,589
DELTA,H,2,SKU-H-2,9,5,119713,54459
DELTA,I,2,SKU-I-2,10,5,20255,16322
DELTA,J,2,SKU-J-2,11,5,8854,637
DELTA,K,2,SKU-K-2,11,5,124013,47691
DELTA,L,1,SKU-L-1,12,5,3567,1354
DELTA,L,2,SKU-L-2,12,5,39745,28662
DELTA,M,2,SKU-M-2,13,5,47006,8121
DELTA,N,2,SKU-N-2,14,5,19777,8201
DELTA,O,1,SKU-O-1,14,5,764,159
DELTA,O,2,SKU-O-2,14,5,91768,60987
DELTA,Q,1,SKU-Q-1,14,5,2357,1513
DELTA,Q,2,SKU-Q-2,14,5,45621,25796
DELTA,S,2,SKU-S-2,15,5,57898,21178
EPSILON,A,2,SKU-A-2,1,5,137341,15127
EPSILON,B,1,SKU-B-1,1,5,669,478
EPSILON,B,2,SKU-B-2,1,5,621306,119586
EPSILON,C,1,SKU-C-1,3,5,147691,57643
EPSILON,C,2,SKU-C-2,4,5,723439,186943
EPSILON,E,2,SKU-E-2,7,5,154013,35987
EPSILON,F,1,SKU-F-1,6,5,58981,13217
EPSILON,F,2,SKU-F-2,7,5,435669,68949
EPSILON,G,2,SKU-G-2,10,5,10127,5892
EPSILON,H,1,SKU-H-1,9,5,5621,159
EPSILON,H,2,SKU-H-2,9,5,541959,148408
EPSILON,I,2,SKU-I-2,10,5,182166,48726
EPSILON,J,2,SKU-J-2,11,5,13185,17197
EPSILON,K,1,SKU-K-1,10,5,16847,5573
EPSILON,K,2,SKU-K-2,11,5,399283,115127
EPSILON,L,1,SKU-L-1,12,5,2850,1433
EPSILON,L,2,SKU-L-2,12,5,331051,87261
EPSILON,M,1,SKU-M-1,13,5,5318,12261
EPSILON,M,2,SKU-M-2,13,5,171178,62261
EPSILON,N,2,SKU-N-2,14,5,66115,23408
EPSILON,O,1,SKU-O-1,14,5,21354,1433
EPSILON,O,2,SKU-O-2,14,5,525478,204777
EPSILON,Q,1,SKU-Q-1,14,5,9841,2707
EPSILON,Q,2,SKU-Q-2,14,5,297213,92197
EPSILON,S,2,SKU-S-2,15,5,468248,105573
ALPHA,A,2,SKU-A-2,1,6,7166,3025
ALPHA,B,1,SKU-B-1,1,6,0,478
ALPHA,B,2,SKU-B-2,1,6,20064,9873
ALPHA,C,1,SKU-C-1,3,6,3981,2229
ALPHA,C,2,SKU-C-2,4,6,22293,14809
ALPHA,E,2,SKU-E-2,7,6,318,159
ALPHA,F,1,SKU-F-1,6,6,32484,13376
ALPHA,F,2,SKU-F-2,7,6,9427,4777
ALPHA,G,2,SKU-G-2,10,6,0,159
ALPHA,H,2,SKU-H-2,9,6,12580,14331
ALPHA,I,2,SKU-I-2,10,6,955,2229
ALPHA,K,1,SKU-K-1,10,6,4936,2389
ALPHA,K,2,SKU-K-2,11,6,3185,5096
ALPHA,L,2,SKU-L-2,12,6,637,1752
ALPHA,M,1,SKU-M-1,13,6,0,159
ALPHA,M,2,SKU-M-2,13,6,1592,318
ALPHA,N,2,SKU-N-2,14,6,796,796
ALPHA,O,1,SKU-O-1,14,6,6688,1752
ALPHA,O,2,SKU-O-2,14,6,11146,26592
ALPHA,Q,1,SKU-Q-1,14,6,318,318
ALPHA,Q,2,SKU-Q-2,14,6,3185,5096
ALPHA,S,2,SKU-S-2,15,6,1592,1274
BETA,B,2,SKU-B-2,1,6,318,318
BETA,C,2,SKU-C-2,4,6,318,478
BETA,E,2,SKU-E-2,7,6,159,318
BETA,H,2,SKU-H-2,9,6,637,159
BETA,I,2,SKU-I-2,10,6,159,318
BETA,K,2,SKU-K-2,11,6,796,318
BETA,O,2,SKU-O-2,14,6,955,478
BETA,Q,2,SKU-Q-2,14,6,159,318
GAMMA,A,2,SKU-A-2,1,6,26688,1115
GAMMA,B,2,SKU-B-2,1,6,19013,64172
GAMMA,C,1,SKU-C-1,3,6,6783,5573
GAMMA,C,2,SKU-C-2,4,6,102038,40605
GAMMA,E,2,SKU-E-2,7,6,5796,13854
GAMMA,F,2,SKU-F-2,7,6,33694,45541
GAMMA,G,2,SKU-G-2,10,6,1019,318
GAMMA,H,2,SKU-H-2,9,6,35732,19427
GAMMA,I,2,SKU-I-2,10,6,15414,6210
GAMMA,J,2,SKU-J-2,11,6,1131,318
